time,pair,session,direction,entry,sl,tp,risk_per_unit,dollar_risk,qty,fee_r,ob_h,ob_l,ob_o,ob_c
2026-02-21T17:08:02.625614+00:00,AWE/USDT:USDT,ny,long,0.05691,0.05681,0.05716000000000001,0.00010000000000000286,0.22457059103848825,2245.7059103848183,0.2276,0.05699,0.05681,0.05698,0.05683
2026-02-21T17:22:02.922970+00:00,C98/USDT:USDT,ny,short,0.026779,0.026873,0.026638000000000002,9.400000000000033e-05,0.4555796719817784,4846.592255125285,0.114,0.026873,0.02678,0.026784,0.026873
2026-02-21T17:29:06.022744+00:00,RESOLV/USDT:USDT,ny,long,0.06527,0.06516,0.06538,0.00010999999999999899,0.2183700536387294,1985.1823058066493,0.2373,0.06525,0.06516,0.06523,0.06521
2026-02-21T18:08:04.927871+00:00,ICP/USDT:USDT,ny,short,2.234,2.238,2.23,0.0040000000000000036,0.22909571457475403,57.27392864368846,0.2234,2.238,2.231,2.232,2.236
2026-02-21T18:28:02.866859+00:00,C98/USDT:USDT,ny,short,0.027258,0.02743,0.027000000000000003,0.00017199999999999854,0.7982135794100748,4640.776624477218,0.0634,0.02743,0.027289,0.027305,0.027394
2026-02-21T22:20:07.792377+00:00,HNT/USDT:USDT,ny,long,1.5172,1.5105,1.5373000000000006,0.00670000000000015,0.5642968547633925,84.22341115871342,0.0906,1.5219,1.5105,1.5156,1.5132
2026-02-21T23:10:03.998437+00:00,C98/USDT:USDT,ny,long,0.02646,0.026309,0.026686500000000002,0.00015100000000000183,0.4377988577346992,2899.3301836734695,0.0701,0.026573,0.026309,0.026542,0.02637
2026-02-21T23:10:32.447678+00:00,BIO/USDT:USDT,ny,short,0.02909,0.02932,0.028630000000000006,0.00022999999999999757,0.6065570172499076,2637.204422825713,0.0506,0.02932,0.0289,0.02903,0.02923
2026-02-21T23:10:33.236745+00:00,BEAT/USDT:USDT,ny,short,0.24571,0.247,0.24313000000000004,0.0012899999999999856,0.4027674774791376,312.2228507590249,0.0762,0.247,0.24539,0.24636,0.24685
2026-02-21T23:10:33.835188+00:00,INIT/USDT:USDT,ny,short,0.09837,0.0987,0.09771,0.00032999999999999696,0.2573586591216811,779.874724611162,0.1192,0.0987,0.09823,0.09829,0.09859
2026-02-21T23:15:34.431974+00:00,BTR/USDT:USDT,ny,short,0.20531,0.20619,0.20354999999999995,0.0008800000000000197,0.32719438213122354,371.81179787638206,0.0933,0.20619,0.2044,0.20514,0.20588
2026-02-21T23:20:33.244097+00:00,KITE/USDT:USDT,ny,long,0.22193,0.2201,0.22558999999999998,0.0018299999999999983,0.6258218792191226,341.97916897219847,0.0485,0.22243,0.2201,0.2222,0.22026
2026-02-22T00:05:30.506655+00:00,LIT/USDT:USDT,asia,long,1.5158,1.504,1.5394,0.011800000000000033,1.5127793091687598,128.20163637023353,0.0514,1.5268,1.504,1.523,1.5168
2026-02-22T00:05:31.457910+00:00,IO/USDT:USDT,asia,short,0.12164,0.12233,0.12026,0.0006899999999999962,1.1023211762816447,1597.56692214732,0.0705,0.12233,0.12131,0.12134,0.12216
