symbol,strategy,tf,side,entry_price,stop_dist,conviction,grade,source,entry_ts,outcome,pnl_r,exit_ts,ema8_slope,ema21_slope,price_vs_ema8,price_vs_ema21,ema8_21_spread,ema_ribbon_width,atr_pct,atr_expansion,stop_atr_ratio,rsi,rsi_roc,bb_position,bb_width_pct,vol_ratio,vol_trend,body_ratio,upper_wick_ratio,lower_wick_ratio,body_direction,range_5bar_pct,range_20bar_pct,position_in_range,momentum_10,momentum_20,direction_alignment
AGLD/USDT:USDT,TR_PULL,15m,short,0.31439,0.008683,65.5,A,hunter,2026-02-24T01:16:09.541346+00:00,win,0.024,2026-02-24T01:16:21.635092+00:00,1.9543,1.1079,-1.4836,-0.9763,0.515,0.4882,2.7373,1.3847,1.0116,47.02,-5.21,0.4642,9.1648,0.1394,1.922,0.7633,0.2367,0.0,-1.0,8.6926,12.5191,0.3444,-0.0255,3.413,1.0
BCH/USDT:USDT,EMA_RIB,15m,short,492.1,3.985024,80.0,A+,hunter,2026-02-24T01:16:10.824513+00:00,loss,-0.0171,2026-02-24T01:16:23.561522+00:00,-0.6645,-0.7787,-0.7806,-1.8513,-1.0791,-0.6232,0.8283,0.8906,0.9796,30.46,-1.28,0.0633,2.933,0.1506,0.7062,0.9091,0.0909,0.0,-1.0,1.6494,3.6652,0.2389,-2.2297,0.2245,3.0
SOL/USDT:USDT,BB_BREAK,15m,short,77.27,0.56581,86.2,A+,hunter,2026-02-24T01:21:29.841661+00:00,loss,-1.0332,2026-02-24T01:26:06.952570+00:00,-0.3524,-0.2517,-0.724,-1.1045,-0.3833,-0.2466,0.7355,1.1412,0.9945,34.97,-10.84,-0.0886,1.9561,7.3913,2.2496,0.0321,0.0695,0.8984,-1.0,3.6199,4.1241,0.5266,-1.3393,-1.2385,3.0
FARTCOIN/USDT:USDT,BB_FADE,15m,long,0.14357,0.001717,68.5,A,hunter,2026-02-24T01:21:35.282730+00:00,,0.0,,-1.1855,-0.9318,-0.8129,-1.9698,-1.1664,-0.7665,1.1985,1.0996,0.9987,30.37,-2.48,0.0959,5.6706,3.987,1.6219,0.1493,0.0924,0.7583,1.0,4.0926,7.732,0.3454,-2.7066,-3.0158,-1.0
BNB/USDT:USDT,TR_PULL,15m,short,596.8,2.984659,80.0,A+,hunter,2026-02-24T01:21:36.355712+00:00,loss,-1.1917,2026-02-24T01:26:08.875437+00:00,0.2375,0.1143,-0.1394,-0.082,0.0575,0.074,0.5017,1.1422,0.9963,48.01,-2.13,0.5349,1.2,6.2315,2.0429,0.0227,0.0909,0.8864,1.0,2.2274,2.2274,0.6015,-0.0837,0.6066,1.0
POWER/USDT:USDT,BB_FADE,1h,short,0.531,0.039074,52.5,B,hunter,2026-02-24T01:27:00.227730+00:00,,0.0,,10.4601,5.9374,5.89,12.0952,5.8601,4.3794,7.3512,1.7537,1.0017,63.0,-2.54,0.9451,29.4465,0.2631,0.8532,0.7975,0.1523,0.0501,-1.0,15.3381,36.7632,0.8677,33.0892,16.1468,-1.0
ADA/USDT:USDT,BB_FADE,15m,long,0.2622,0.00166,61.6,B,hunter,2026-02-24T01:27:01.562849+00:00,,0.0,,-0.0611,-0.0774,-0.2826,-0.451,-0.1688,-0.082,0.6351,1.0736,0.9966,41.52,-5.43,0.1748,1.2199,6.8646,1.9659,0.1091,0.1455,0.7455,1.0,2.6316,2.8223,0.6351,-0.6065,-0.0381,-1.0
BTC/USDT:USDT,EMA_RIB,1h,short,64245.0,616.245228,95.4,A+,hunter,2026-02-24T01:52:56.917588+00:00,win,1.3948,2026-02-24T01:53:13.088733+00:00,-0.4325,-0.5941,-0.6982,-1.5303,-0.8379,-0.5213,0.9546,1.1701,1.0051,33.48,2.05,0.1303,4.586,3.2486,1.0274,0.4454,0.0,0.5546,-1.0,2.4867,4.9616,0.2639,-1.6936,-2.2622,3.0
SUI/USDT:USDT,TR_PULL,1h,short,0.8819,0.012009,65.3,A,hunter,2026-02-24T01:53:01.102587+00:00,,0.0,,0.0171,-0.4304,-0.0302,-0.7135,-0.6835,-0.3753,1.3556,1.0618,1.0047,43.34,4.02,0.3493,5.3575,2.0363,0.7966,0.2108,0.1031,0.6861,-1.0,2.5292,5.7729,0.334,-0.1246,-1.1547,1.0
ENSO/USDT:USDT,BB_FADE,1h,long,1.992,0.06211,59.0,B,hunter,2026-02-24T01:53:02.934357+00:00,,0.0,,0.3209,-0.0318,0.7241,0.6657,-0.058,0.008,3.1565,0.8701,0.9875,53.32,1.68,0.6413,4.4187,1.7457,1.1372,0.1082,0.2154,0.6764,1.0,5.0841,7.2171,0.5737,0.927,-2.199,3.0
XRP/USDT:USDT,TR_PULL,1h,short,1.3525,0.016092,72.6,A,hunter,2026-02-24T01:55:31.243377+00:00,win,0.0817,2026-02-24T01:55:44.013610+00:00,-0.6341,-0.5409,-0.4816,-1.1559,-0.6776,-0.4395,1.1864,1.0724,1.0041,39.53,0.69,0.2065,5.0731,2.0391,0.7214,0.1476,0.1616,0.6908,-1.0,3.0128,7.284,0.252,-1.0764,-1.1994,3.0
LA/USDT:USDT,BB_FADE,15m,long,0.21521,0.004602,55.1,B,hunter,2026-02-24T01:55:33.038434+00:00,loss,-0.5515,2026-02-24T02:46:53.530274+00:00,-4.4045,-2.3443,-2.6562,-5.1468,-2.5585,-1.7608,2.1212,1.2696,1.0099,31.0,-25.34,0.0503,12.8299,0.2841,1.5851,0.3185,0.4476,0.2339,1.0,11.5311,12.0618,0.1054,-4.6941,-8.4005,-1.0
TRIA/USDT:USDT,ENGULF,1h,long,0.017805,0.000626,53.3,B,portfolio,2026-02-24T02:00:01.489424+00:00,loss,-1.0956,2026-02-24T02:03:44.461009+00:00,2.8106,2.8546,2.0263,5.7061,3.6067,2.3726,3.5141,1.1195,0.9999,67.24,-0.09,0.8205,19.0662,2.2906,1.0467,0.2272,0.6955,0.0773,1.0,6.706,19.253,0.8241,7.2267,15.4819,3.0
RAVE/USDT:USDT,RSI_FADE,15m,long,0.28007,0.005798,64.3,B,hunter,2026-02-24T02:00:53.481863+00:00,loss,-0.6851,2026-02-24T02:07:07.911936+00:00,-3.2186,-1.6644,-2.2655,-3.9785,-1.7527,-1.3682,1.9839,1.018,1.044,28.41,-13.82,-0.0375,9.4211,0.2197,1.4295,0.7807,0.2193,0.0,1.0,7.2916,10.2533,0.1895,-6.6188,-7.2501,-1.0
WLFI/USDT:USDT,EMA_RIB,15m,short,0.1099,0.000969,73.1,A,hunter,2026-02-24T02:06:15.197487+00:00,win,1.149,2026-02-24T03:16:30.627025+00:00,-0.178,-0.2126,-0.221,-0.4592,-0.2387,-0.1246,0.8899,1.0457,0.9906,44.95,-3.11,0.299,1.7853,0.5836,2.1023,0.7264,0.0283,0.2453,-1.0,2.8566,2.9294,0.5528,0.0819,-0.839,1.0
RIVER/USDT:USDT,EMA_RIB,15m,long,8.818,0.262414,72.0,A,hunter,2026-02-24T02:11:36.339328+00:00,loss,-1.04,2026-02-24T02:11:47.412247+00:00,-0.4852,1.728,-1.2995,1.3718,2.7065,1.5674,2.9713,1.801,1.0013,55.91,-7.6,0.5776,21.8697,0.5902,1.2493,0.3252,0.0982,0.5767,1.0,6.3605,20.6122,0.5336,0.2501,11.858,1.0
ESP/USDT:USDT,BB_FADE,15m,long,0.10139,0.003543,47.3,C,portfolio,2026-02-24T02:15:02.332530+00:00,win,2.086,2026-02-24T02:15:09.128966+00:00,-1.2796,-0.6434,-0.6101,-1.3621,-0.7567,-0.5306,3.5621,1.1309,0.9811,47.22,-11.95,0.3344,6.32,1.2209,1.0301,0.3135,0.2914,0.3951,1.0,7.4761,18.9565,0.167,-1.887,-3.1059,-1.0
SOL/USDT:USDT,TR_PULL,15m,short,77.78,0.600368,80.2,A+,hunter,2026-02-24T02:22:16.110420+00:00,loss,-1.0967,2026-02-24T02:32:57.175122+00:00,-0.2828,-0.256,-0.0828,-0.3814,-0.2989,-0.1875,0.7799,1.1724,0.9896,42.68,7.93,0.2747,1.9832,0.3219,2.1579,0.2128,0.4681,0.3191,-1.0,3.3295,4.1008,0.6646,-0.6133,-0.7147,3.0
FARTCOIN/USDT:USDT,EMA_RIB,15m,short,0.14136,0.001676,82.2,A+,hunter,2026-02-24T02:38:16.326450+00:00,loss,-0.0156,2026-02-24T03:42:24.221023+00:00,-1.2585,-1.0189,-1.0744,-2.3419,-1.2813,-0.8538,1.1966,1.0543,0.9904,27.96,-9.08,0.0497,5.6909,0.4928,0.6688,0.5247,0.2222,0.2531,-1.0,3.0115,6.6096,0.1989,-2.2053,-4.6573,1.0
XRP/USDT:USDT,EMA_RIB,1h,short,1.3372,0.015743,87.8,A+,hunter,2026-02-24T03:20:47.029211+00:00,win,0.0757,2026-02-24T03:20:54.897246+00:00,-0.8766,-0.6595,-1.0565,-1.8799,-0.8322,-0.5609,1.1738,1.0255,1.0034,33.88,-6.28,0.0915,5.7976,0.497,0.7919,0.8468,0.0,0.1532,-1.0,2.6859,7.362,0.1067,-2.0375,-2.1021,3.0
BNB/USDT:USDT,BB_FADE,15m,long,595.7,3.032416,64.7,B,hunter,2026-02-24T03:20:48.927141+00:00,loss,-1.2961,2026-02-24T03:36:39.345255+00:00,-0.1953,-0.0538,-0.2816,-0.3491,-0.0677,-0.0514,0.5129,1.1145,0.9928,43.39,-7.15,0.1715,1.1375,0.203,0.6212,0.25,0.2,0.55,1.0,1.3266,2.2334,0.4812,-0.2345,-0.318,-1.0
BTC/USDT:USDT,BB_FADE,15m,long,62933.6,252.936575,78.8,A,hunter,2026-02-24T13:44:15.790062+00:00,win,2.1044,2026-02-24T13:44:26.478733+00:00,-0.2906,-0.166,-0.1677,-0.3405,-0.173,-0.1112,0.409,0.984,0.9828,38.5,-9.98,0.0381,0.7632,6.6109,2.0897,0.058,0.2371,0.7048,1.0,1.4195,1.5557,0.5117,-0.3489,-0.6775,-1.0
ETH/USDT:USDT,TR_PULL,15m,short,1818.34,8.984266,90.1,A+,hunter,2026-02-24T13:44:18.086123+00:00,win,1.1488,2026-02-24T14:32:36.571387+00:00,-0.1493,-0.0861,-0.2056,-0.3095,-0.1041,-0.0651,0.5028,0.9867,0.9828,40.01,-10.12,0.0347,0.6452,8.0383,2.167,0.0646,0.0943,0.8411,-1.0,1.7105,2.0223,0.5771,-0.1417,-0.6649,3.0
SOL/USDT:USDT,BB_FADE,15m,long,76.51,0.3999,79.5,A,hunter,2026-02-24T13:44:20.604938+00:00,loss,-1.2269,2026-02-24T13:44:28.461770+00:00,-0.1905,-0.0994,-0.0868,-0.1849,-0.0982,-0.0586,0.5338,0.9331,0.9787,44.91,-8.77,0.3081,0.8033,4.1523,1.4948,0.1795,0.2564,0.5641,1.0,1.3457,1.607,0.5041,-0.1305,-0.5587,-1.0
PIPPIN/USDT:USDT,EMA_RIB,1h,long,0.7726,0.044982,63.3,B,hunter,2026-02-24T13:49:43.642221+00:00,loss,-0.2157,2026-02-24T14:58:25.439106+00:00,-0.001,0.9367,3.7067,5.1187,1.3615,0.6278,5.8329,1.5836,0.9992,58.4,-11.89,0.8671,11.5105,1.3559,2.4346,0.7468,0.2049,0.0484,1.0,30.3821,30.3821,0.5006,5.3539,7.1501,1.0
WHITEWHALE/USDT:USDT,MTF_RSI,1h,short,0.0565,0.002457,40.6,C,portfolio,2026-02-24T14:00:02.450670+00:00,loss,-0.1276,2026-02-24T14:00:06.384392+00:00,6.1981,4.146,0.6318,4.5599,3.9034,2.9534,4.3704,1.1279,0.9952,58.59,-0.06,0.7806,22.7534,1.5333,2.2307,0.3116,0.0704,0.6181,-1.0,11.6637,21.2566,0.6045,10.3516,14.0262,-1.0
XRP/USDT:USDT,EMA_RIB,15m,short,1.316,0.00645,92.3,A+,hunter,2026-02-24T14:34:04.083174+00:00,loss,-0.7734,2026-02-24T14:36:29.964178+00:00,-0.4773,-0.2061,-0.8048,-1.0428,-0.2399,-0.1869,0.4911,0.987,0.999,29.1,-16.24,-0.3673,1.3174,2.7074,1.7461,0.8447,0.0874,0.068,-1.0,1.4833,1.7876,0.0298,-1.3951,-1.2247,1.0
XAUT/USDT:USDT,BB_FADE,15m,long,5115.6,15.3468,80.5,A+,hunter,2026-02-24T14:39:43.581976+00:00,loss,-0.2342,2026-02-24T14:39:51.946237+00:00,-0.4747,-0.2971,0.0341,-0.2609,-0.295,-0.2099,0.2781,1.5434,1.0787,41.52,1.44,0.2645,1.5825,1.2478,2.5905,0.7569,0.0138,0.2294,1.0,1.1748,1.6243,0.4922,-0.4437,-0.6699,-1.0
BTC/USDT:USDT,BB_FADE,15m,long,63329.1,280.187964,70.1,A,hunter,2026-02-24T14:45:16.488210+00:00,win,1.1828,2026-02-24T14:53:29.269612+00:00,0.1517,-0.0068,0.4024,0.3992,-0.0032,0.0182,0.4201,1.0884,1.0524,57.26,19.97,0.9333,0.9453,0.0603,1.3578,0.9353,0.0,0.0647,1.0,1.1726,1.6343,0.9184,0.4618,0.3161,3.0
ETH/USDT:USDT,BB_BREAK,15m,long,1835.24,11.24996,78.9,A,hunter,2026-02-24T14:56:23.745466+00:00,win,1.2758,2026-02-24T14:56:35.429809+00:00,0.0856,-0.0314,0.6709,0.6837,0.0127,0.0286,0.6135,1.2748,0.999,61.79,23.03,1.1381,1.1089,3.4336,1.8211,0.3802,0.5443,0.0755,1.0,2.4632,2.7536,0.7604,0.6979,0.582,3.0
HYPE/USDT:USDT,BB_FADE,15m,short,26.673,0.200202,75.1,A,hunter,2026-02-24T15:02:01.769265+00:00,win,1.6818,2026-02-24T15:02:13.079219+00:00,0.4896,0.2724,-0.2404,0.0121,0.2531,0.1739,0.7955,1.2076,0.9507,51.7,-5.88,0.5188,1.8039,0.975,1.876,0.9563,0.0344,0.0094,-1.0,2.5802,3.5964,0.4107,0.463,0.0151,-1.0
POWER/USDT:USDT,TR_PULL,1h,long,0.48964,0.068115,80.6,A+,hunter,2026-02-24T15:02:04.358472+00:00,win,0.3853,2026-02-24T15:02:15.303195+00:00,-14.6679,-5.3552,1.3126,-0.6383,-1.9256,-2.0901,13.8591,1.4674,1.0,49.99,-11.46,0.4188,52.9883,0.028,1.6038,0.5151,0.304,0.1809,1.0,58.0413,69.6639,0.4308,-6.2511,-5.2662,-1.0
FARTCOIN/USDT:USDT,BB_FADE,15m,short,0.14402,0.001436,50.0,B,hunter,2026-02-24T15:07:36.124028+00:00,loss,-1.0657,2026-02-24T15:16:29.625753+00:00,0.9445,0.5975,0.5666,1.2597,0.6892,0.4841,0.9902,1.0798,1.0055,66.93,6.54,0.9727,2.8561,1.0885,1.3637,0.3133,0.0267,0.66,-1.0,3.2099,4.1251,0.7328,1.4988,1.5775,-1.0
ENSO/USDT:USDT,BB_BREAK,1h,long,2.7023,0.120047,74.8,A,hunter,2026-02-24T15:18:30.736372+00:00,loss,-0.9992,2026-02-24T15:33:05.774318+00:00,13.8415,7.4571,14.3866,23.8155,8.243,6.0708,4.4181,1.6553,1.0081,86.9,19.54,1.2174,29.951,1.6999,1.9048,0.3006,0.2511,0.4482,1.0,23.7088,30.7955,0.934,33.5051,35.8262,1.0
BCH/USDT:USDT,EMA_RIB,1h,short,476.5,6.75793,87.7,A+,hunter,2026-02-24T15:18:32.835296+00:00,loss,-0.2537,2026-02-24T18:24:44.194354+00:00,-0.9833,-1.6102,-0.7328,-3.0272,-2.3114,-1.3085,1.4131,0.9282,1.0043,25.7,4.13,0.181,6.3631,0.725,0.7987,0.4,0.0933,0.5067,-1.0,1.911,7.9588,0.1003,-1.2443,-3.7396,1.0
RIVER/USDT:USDT,BB_FADE,15m,short,8.791,0.165607,65.0,A,hunter,2026-02-24T15:56:52.969773+00:00,loss,-1.1177,2026-02-24T16:01:59.999328+00:00,1.1714,0.8393,1.0273,2.0967,1.0586,0.7356,1.8486,1.0107,1.0186,61.06,0.09,0.836,6.6083,0.7529,0.8067,0.3611,0.45,0.1889,-1.0,4.2865,8.4139,0.6676,3.6902,-1.3128,-1.0
BTC/USDT:USDT,BB_BREAK,15m,long,64172.5,326.501818,85.8,A+,hunter,2026-02-24T16:07:47.050263+00:00,loss,-1.0796,2026-02-24T16:28:37.235438+00:00,0.888,0.4569,0.7355,1.1945,0.4556,0.3492,0.5118,1.256,0.9943,71.08,11.51,1.0858,2.3437,1.4779,1.1309,0.4613,0.502,0.0367,1.0,1.7462,3.0768,0.8807,2.0502,1.6111,1.0
VIRTUAL/USDT:USDT,RSI_FADE,15m,short,0.6037,0.005788,46.5,C,portfolio,2026-02-24T16:30:01.934308+00:00,win,0.6965,2026-02-24T16:30:11.222181+00:00,1.9889,1.301,1.0955,2.4879,1.3773,0.995,0.9578,1.3103,1.0009,74.88,-2.15,0.9348,6.8921,0.6707,1.42,0.2571,0.3143,0.4286,-1.0,2.2528,6.4933,0.8954,4.0145,4.6274,-1.0
ETH/USDT:USDT,MTF_RSI,15m,short,1840.16,11.585143,72.1,A,hunter,2026-02-24T16:35:32.214727+00:00,win,1.9059,2026-02-24T16:35:34.904477+00:00,0.5946,0.421,-0.0849,0.3528,0.4381,0.3188,0.6294,1.2082,1.0001,56.18,-14.85,0.6997,2.7303,0.7729,0.8957,0.8133,0.0606,0.1261,-1.0,1.2731,3.5633,0.6624,1.4755,0.8101,-1.0
HYPE/USDT:USDT,EMA_RIB,15m,long,27.085,0.22554,86.9,A+,hunter,2026-02-24T16:41:05.904047+00:00,win,1.5142,2026-02-24T16:41:14.287553+00:00,0.8573,0.5684,0.9217,1.6228,0.6948,0.4927,0.8315,1.2392,1.0012,68.23,6.89,1.0423,3.3742,0.7299,1.0645,0.6132,0.0988,0.2881,1.0,1.8678,3.8537,0.9684,2.4777,2.3731,3.0
POWER/USDT:USDT,TR_PULL,15m,short,0.46233,0.038118,55.9,B,hunter,2026-02-24T16:41:07.762560+00:00,win,0.4928,2026-02-24T16:41:16.268577+00:00,0.6538,-0.6389,-1.2966,-2.592,-1.3124,-0.3464,8.2387,0.8845,1.0064,46.63,-3.14,0.5738,43.4072,0.233,0.4281,0.4037,0.4853,0.111,-1.0,11.4263,54.8887,0.4587,-0.6698,-14.0402,1.0
ESP/USDT:USDT,BB_FADE,15m,long,0.16464,0.007999,79.6,A,portfolio,2026-02-24T16:45:02.822923+00:00,win,1.4037,2026-02-24T16:45:07.600033+00:00,-4.0251,-1.5065,-3.1655,-4.4912,-1.369,-1.7124,4.9319,0.9171,0.9851,43.22,-9.81,0.0362,16.9949,0.6624,0.9204,0.072,0.78,0.148,1.0,10.5321,23.0321,0.1466,-6.9883,-9.9491,-1.0
BTC/USDT:USDT,EMA_RIB,1h,short,64061.1,602.327897,83.7,A+,hunter,2026-02-24T17:52:30.520148+00:00,loss,-1.12,2026-02-24T17:52:33.146641+00:00,0.6562,-0.1002,0.5629,0.271,-0.2903,-0.0694,0.946,1.0002,0.9943,48.62,22.01,0.6585,3.8099,0.8877,1.4746,0.4096,0.5848,0.0056,-1.0,3.2445,4.0022,0.6304,1.0822,-1.0139,-1.0
SAND/USDT:USDT,MTF_RSI,1h,short,0.07907,0.000923,68.6,A,portfolio,2026-02-24T18:00:04.594979+00:00,loss,-1.04,2026-02-24T18:00:14.478725+00:00,1.1394,0.3123,0.5162,0.7019,0.1847,0.2218,1.1702,1.0062,0.9978,53.33,13.93,0.7885,3.4785,1.1752,1.4027,0.8243,0.0811,0.0946,-1.0,3.655,3.7182,0.6905,1.5671,0.534,-1.0
ETH/USDT:USDT,EMA_RIB,15m,long,1856.16,10.835453,75.3,A,hunter,2026-02-24T18:03:41.458974+00:00,loss,-1.1389,2026-02-24T18:14:40.427953+00:00,0.3141,0.3817,0.1934,0.6861,0.4918,0.3257,0.5782,1.0344,1.0094,65.03,-4.16,0.7526,3.4963,0.0974,0.5626,0.3883,0.4515,0.1602,1.0,0.8618,3.6383,0.883,0.5557,2.0221,3.0
SOL/USDT:USDT,EMA_RIB,15m,long,78.11,0.485201,72.9,A,hunter,2026-02-24T18:03:43.536195+00:00,loss,-1.1626,2026-02-24T18:13:37.216772+00:00,0.4505,0.4505,0.2309,0.7666,0.5344,0.3626,0.6151,1.0504,1.0102,64.64,-5.55,0.7857,3.4807,0.2397,0.6648,0.4091,0.4318,0.1591,1.0,0.922,3.7649,0.8776,1.0743,2.212,3.0
XRP/USDT:USDT,BB_FADE,1h,short,1.3542,0.015121,76.8,A,hunter,2026-02-24T18:14:25.642250+00:00,loss,-0.8689,2026-02-24T18:14:42.388772+00:00,1.116,0.2892,0.4965,0.6125,0.1154,0.1742,1.124,0.9831,0.9937,53.5,18.04,0.8117,3.3339,0.3075,1.3726,0.363,0.6296,0.0074,-1.0,4.0999,4.0999,0.7586,1.7131,0.1999,-1.0
PIPPIN/USDT:USDT,EMA_RIB,15m,long,0.8043,0.022164,72.7,A,hunter,2026-02-24T18:19:50.770304+00:00,win,1.1904,2026-02-24T20:14:33.137841+00:00,1.9225,1.3621,1.5657,3.1827,1.592,1.068,2.76,0.7863,0.999,62.85,8.46,1.0345,5.1833,0.2798,0.6591,0.5605,0.1681,0.2714,1.0,5.1765,8.3763,0.7597,3.1994,4.7377,3.0
HYPE/USDT:USDT,EMA_RIB,15m,long,26.999,0.211256,78.5,A,hunter,2026-02-24T18:19:52.882357+00:00,win,1.1827,2026-02-24T20:09:22.983192+00:00,-0.0495,0.2977,0.1127,0.6104,0.4971,0.2965,0.7766,1.038,1.008,59.36,-11.23,0.6905,3.2819,0.0991,0.5422,0.4752,0.1683,0.3564,1.0,1.4043,4.4501,0.756,0.1559,1.9338,1.0
SUI/USDT:USDT,EMA_RIB,15m,long,0.8669,0.005945,76.2,A,hunter,2026-02-24T18:25:20.097534+00:00,win,1.9862,2026-02-24T18:25:32.060831+00:00,-0.175,0.1047,0.187,0.4445,0.257,0.1535,0.6809,1.0537,1.007,57.24,-4.96,0.6664,3.3504,0.2996,0.5596,0.7069,0.1552,0.1379,1.0,0.8997,4.06,0.7756,-0.5506,2.06,-1.0
POWER/USDT:USDT,TR_PULL,15m,short,0.54629,0.031371,59.0,B,hunter,2026-02-24T18:52:41.683276+00:00,loss,-0.2387,2026-02-24T19:14:00.739449+00:00,6.7163,3.9024,5.4795,9.9023,4.193,3.3794,5.7267,0.7905,0.9981,61.8,6.8,0.9533,24.2666,0.2396,0.4897,0.0923,0.399,0.5087,1.0,11.2202,38.3798,0.9338,21.1786,36.0443,-1.0
